cinema_id,name,city,country
1,FilmPalace 1,Alfredfurt,Netherlands
2,CineStar 2,Kaylaview,Sweden
3,CineStar 3,Rodgersshire,Netherlands
4,Cinema Lux 4,Lake Karenburgh,Belgium
5,MovieLand 5,Port Alyssa,Austria
6,CineStar 6,North Richardburgh,Germany
7,MovieLand 7,Murrayburgh,Germany
8,Cinema Lux 8,Port Tina,Austria
9,MovieLand 9,West Nicholasstad,Austria
10,FilmHaven 10,Ashleymouth,Austria
11,FilmPalace 11,Port Joseph,Sweden
12,FilmHaven 12,Wesleyfurt,Belgium
13,CineStar 13,West Emily,Belgium
14,MovieLand 14,New Catherine,Sweden
15,CineStar 15,Port Gregoryport,Sweden
16,FilmHaven 16,New Lisa,Belgium
17,FilmPalace 17,Kathleenstad,Belgium
18,MovieLand 18,Fostershire,Austria
19,FilmHaven 19,Johnsonborough,Austria
20,FilmPalace 20,West Patrick,Belgium
