visit_id,member_id,cinema_id,film_id,visit_date
1,368,18,50,2025-05-07
2,1439,10,31,2025-05-25
3,632,6,1,2025-05-27
4,1286,3,8,2024-07-05
5,9,2,15,2024-11-09
6,639,16,26,2024-03-29
7,364,7,16,2024-11-03
8,329,16,50,2023-07-17
9,1204,14,34,2024-09-15
10,1711,4,23,2024-03-15
11,505,19,20,2025-06-28
12,1126,4,21,2025-05-14
13,769,19,28,2023-11-30
14,130,15,33,2025-03-24
15,2,6,7,2023-11-12
16,1500,2,43,2024-04-17
17,512,14,17,2025-02-07
18,711,4,36,2024-05-27
19,1706,3,29,2023-07-14
20,793,18,48,2025-03-24
21,175,4,43,2024-01-14
22,242,10,29,2024-02-08
23,1051,20,19,2023-07-08
24,1921,4,43,2023-11-28
25,1622,15,30,2025-02-07
26,1101,16,9,2024-02-22
27,96,1,20,2025-04-01
28,658,8,44,2024-11-24
29,1368,20,49,2023-08-01
30,63,12,10,2024-12-27
31,236,18,32,2025-03-06
32,890,20,8,2024-01-17
33,777,12,25,2024-07-20
34,493,13,3,2024-09-29
35,1162,5,18,2025-03-08
36,1158,4,37,2024-08-15
37,1807,1,48,2023-12-26
38,304,15,30,2024-10-10
39,1339,12,12,2023-07-21
40,1878,17,13,2023-10-18
41,897,12,29,2024-12-23
42,1526,14,2,2025-03-09
43,330,20,20,2024-02-23
44,907,4,44,2024-02-20
45,1890,20,33,2025-02-25
46,1317,11,30,2024-07-24
47,1048,19,3,2024-03-09
48,118,11,13,2024-01-26
49,1202,1,6,2023-08-29
50,1072,12,31,2024-11-03
51,551,6,50,2025-06-19
52,835,11,14,2025-06-02
53,893,5,21,2024-07-31
54,989,7,13,2023-08-26
55,1925,9,33,2025-02-14
56,930,7,16,2023-12-30
57,698,4,7,2024-02-03
58,680,15,35,2024-07-06
59,231,1,20,2023-09-09
60,1504,17,49,2024-03-29
61,1591,5,7,2023-11-03
62,266,4,3,2024-02-11
63,1608,4,48,2023-11-29
64,1331,5,18,2025-06-07
65,1793,4,41,2024-11-01
66,1614,14,36,2023-08-06
67,1641,17,45,2023-09-20
68,1496,2,24,2024-03-31
69,579,10,50,2024-06-14
70,511,8,6,2025-02-13
71,1845,7,33,2024-07-01
72,504,11,24,2024-04-13
73,523,6,32,2023-11-28
74,996,2,44,2024-06-20
75,467,1,5,2025-05-27
76,592,20,12,2024-04-11
77,1674,2,21,2024-06-21
78,56,16,31,2024-05-17
79,1044,7,24,2025-02-19
80,1208,13,43,2025-06-30
81,1674,19,15,2024-03-07
82,213,14,39,2024-01-15
83,1994,7,47,2024-06-02
84,1225,7,17,2023-11-28
85,471,5,36,2024-05-22
86,333,20,8,2025-03-10
87,531,3,12,2024-09-06
88,645,20,38,2023-10-11
89,860,18,41,2024-05-06
90,1102,3,43,2024-10-04
91,709,2,8,2024-02-16
92,854,18,26,2025-04-09
93,613,7,6,2023-08-10
94,1251,14,37,2025-02-14
95,510,1,35,2025-06-17
96,520,18,4,2023-12-14
97,153,11,4,2024-07-06
98,1047,3,31,2025-02-20
99,1272,19,25,2025-03-01
100,664,1,24,2024-05-09
101,295,20,44,2025-02-08
102,1980,1,16,2024-04-06
103,1848,19,42,2024-10-19
104,1147,2,20,2025-06-16
105,1759,15,28,2025-04-09
106,999,7,47,2023-09-18
107,648,15,30,2024-04-11
108,1282,12,33,2024-08-09
109,553,18,22,2023-11-01
110,1690,11,3,2024-04-20
111,320,16,5,2025-06-08
112,1869,11,16,2025-07-03
113,245,8,27,2024-12-22
114,722,11,1,2024-01-09
115,1475,1,48,2024-10-12
116,1021,12,45,2023-08-14
117,201,20,28,2023-09-04
118,952,16,21,2025-04-02
119,1242,15,30,2023-08-16
120,1489,13,3,2023-07-29
121,1847,7,24,2023-11-22
122,1619,17,7,2025-05-25
123,1290,1,47,2023-10-25
124,1827,6,42,2024-07-19
125,1180,18,48,2023-09-06
126,1670,14,37,2025-01-31
127,1780,12,7,2023-09-15
128,1114,4,35,2024-08-31
129,196,12,5,2023-11-10
130,563,12,29,2024-10-23
131,1141,12,37,2023-11-06
132,1696,16,9,2023-12-15
